herb_name,city,town,collection_date,longitude,latitude,soil_pH,soil_Cr,soil_Ni,soil_Cu,soil_Zn,soil_As,soil_Cd,soil_Hg,soil_Pb,herb_Cr,herb_Ni,herb_Cu,herb_Zn,herb_As,herb_Cd,herb_Hg,herb_Pb
蒲公英,苏州市,张家港市,2025-4-12,120.583401,31.852732,7.02,74,32,23,486,7.8,0.12,0.05,22.2,43.8,18.154,15.729,109.546,1.116,0.247,0.003,4.97
蒲公英,苏州市,张家港市,2025-4-12,120.583106,31.852742,7.19,64,26,20,236,5.46,0.11,0.05,21.6,15.4,6.517,14.617,79.73,0.471,0.139,0.047,2.065
蒲公英,苏州市,吴中区,2025-11-5,120.556156,31.204684,7.33,70,30,22,76,9.5,0.17,0.07,23.3,7.704,3.949,10.351,28.777,0.637,0.243,0.04,1.897
菊花,盐城市,射阳县,2024-10-16,120.366214,33.597025,7.59,63,29,22,77,12.7,0.164,0.017,22.5,0.557,0.912,13.433,45.908,0.06,0.148,0.005,0.274
菊花,盐城市,射阳县,2024-10-16,120.367694,33.598174,7.79,62,29,20,68,12.8,0.143,0.015,21.4,0.286,0.945,12.285,35.761,0.045,0.148,0.007,0.157
菊花,盐城市,射阳县,2024-10-16,120.369618,33.597167,7.64,63,30,22,72,13,0.153,0.032,22.4,0.274,0.915,12.596,36.504,0.017,0.108,0.005,0.163
天花粉,盐城市,亭湖区,2024-11-5,120.420989,33.527822,8.25,53,24,16,57,10.1,0.115,0.014,18.6,0.312,0.598,3.178,8.155,0.285,0.022,-0.006,0.126
天花粉,盐城市,亭湖区,2024-11-5,120.416254,33.525107,8.28,57,25.5,20.5,64,10.35,0.13,0.017,22.125,0.061,0.854,4.318,7.372,0.062,0.003,-0.007,0.083
天花粉,盐城市,盐都区,2025-1-10,120.003194,33.338877,6.8,68,29,20,66,6.5,0.108,0.049,24.8,0.983,3.255,7.673,18.317,0.37,0.059,-0.004,0.751
天花粉,南通市,如皋市,2024-12-21,120.619695,32.462401,6.78,47,22,15,77,3.26,0.13,0.065,22.4,0.094,1.547,4.005,13.831,0.119,0.022,0.012,0.081
天花粉,南通市,如皋市,2024-12-21,120.622119,32.461298,6.55,57,24.185,18.105,71.575,4.819,0.148,0.041,20.638,0.288,1.605,4.549,17.065,0.107,0.013,0.015,0.106
天花粉,南通市,如皋市,2024-12-21,120.621223,32.458756,6.5,52.049,22.952,16.545,74.261,4.04,0.137,0.053,21.509,0.142,2.522,9.125,14.772,0.139,0.02,0.008,0.066
瓜蒌皮,淮安市,涟水县,2024-11-10,119.198403,34.041781,7.03,62,29,23,74,11.8,0.241,0.056,23,-0.056,0.606,6.274,17.338,0.039,0.044,0.002,0.087
瓜蒌皮,淮安市,涟水县,2024-11-10,119.198561,34.043678,6.8,60,30,23,76,11.4,0.242,0.05,22,0.403,1.125,6.5,7.691,0.12,0.032,-0.004,0.396
瓜蒌皮,盐城市,阜宁县,2024-12-8,119.675643,33.822274,7.33,91,46,35,111,15.7,0.216,0.033,33.5,0.246,0.572,4.423,6.469,0.023,0.006,0,0.102
瓜蒌皮,盐城市,阜宁县,2024-12-8,119.676884,33.82177,6.62,90,46,37,112,16.3,0.259,0.03,35,0.106,0.886,4.765,6.465,0.013,0.004,-0.004,0.083
瓜蒌皮,盐城市,盐都区,2024-12-2,120.002757,33.338761,6.8,68,29,20,66,6.5,0.108,0.049,24.8,0.123,0.272,6.991,7.646,0.01,0.008,-0.004,0.079
瓜蒌皮,盐城市,盐都区,2024-12-2,120.002909,33.33908,6.95,62.83,29.25,21.24,69.43,6.84,0.11,0.033,24.1,0.193,0.331,6.036,10.303,0.009,0.008,-0.005,0.095
瓜蒌皮,南通市,如皋市,2024-12-1,120.619695,32.462401,6.78,47,22,15,77,3.26,0.13,0.065,22.4,1.078,0.54,3.162,3.147,0.034,0.007,0.002,0.077
瓜蒌皮,南通市,如皋市,2024-12-1,120.622119,32.461298,6.55,57,24.185,18.105,71.575,4.819,0.148,0.041,20.638,0.762,0.506,3.55,5.522,0.053,0.014,0.003,0.324
瓜蒌皮,南通市,如皋市,2024-12-1,120.621223,32.458756,6.5,52.049,22.952,16.545,74.261,4.04,0.137,0.053,21.509,1.025,0.674,3.542,4.956,0.039,0.011,0.001,0.119
茅苍术,镇江市,丹徒区,2024-12-15,119.29528,32.116707,5.27,54,20,16,53,6.6,0.1,0.062,21.6,0.98,2.48,4.9375,4.04,0.178,0.43,0.004,0.57
茅苍术,镇江市,丹徒区,2024-12-15,119.295483,32.115597,5.28,70,33,23,76,9.5,0.14,0.032,23.1,1.32,5.37,14.7675,31.67,0.293,0.76,0.013,3.95
茅苍术,镇江市,丹徒区,2024-12-15,119.295063,32.10875,4.94,41,11,60,50,8.5,0.15,0.062,50,2.01,7.87,16.4391,39.15,0.221,1.42,0.016,12.64
茅苍术,镇江市,丹徒区,2024-12-15,119.295176,32.108122,4.9,45.306,11.591,57.129,51.041,8.219,0.18,0.052,51.578,3.55,7.34,14.3871,38.05,0.23,1.48,0.008,14.69
白首乌,盐城市,滨海县,2024-12-30,120.276825,34.213875,7.26,72,36,27,85,15.7,0.226,0.038,26.4,0.482,0.328,5.574,7.469,0.035,0.003,-0.004,0.129
白首乌,盐城市,滨海县,2024-12-30,120.278417,34.212056,6.96,74,37,29,86,18.1,0.259,0.028,27.1,0.834,0.539,6.439,8.489,0.03,0.004,-0.005,0.583
